gene,protein,r1,r2,p1,p2,Class.pr
PPR1,HTB2,-0.073331023,0.0537496494184383,0.931017,0.92886484249928,No effect
PPR1,RNR2,0.22209973,0.15351342154077,0.00366051,0.374152778530239,No effect
PPR1,SSA1,-0.068900946,-0.113990690725436,0.999427,0.764325811350839,No effect
PPR1,TDH1,-0.10135204,-0.129386646686879,0.999427,0.666817887047715,No effect
PPR1,TDH2,-0.25315583,0.0326891689133055,0.708487,0.956422020612771,No effect
PPR1,TDH3,-0.10367544,0.225832316479347,0.999427,0.466068159726455,No effect
PPR1,YHB1,0.62230255,-0.060263721448255,2.30667e-6,0.9247727844836,Study 1 only
RIC1,ENO2,0.131708,0.094399247933014,0.436379,0.763959373496909,No effect
RIC1,FAS1,0.16932215,-0.351065574118959,0.00958385,0.254495928379009,No effect
RIC1,FAS2,0.21321662,-0.14863066976101,2.64768e-4,0.639420757230779,No effect
RIC1,HTB2,-0.10516594,-0.476783350933512,0.105383,0.094956092057274,No effect
RIC1,RNR2,0.25955572,0.128757575744371,1.05376e-5,0.488004741087388,No effect
RIC1,SSA1,0.21047615,-0.564240421889743,0.153362,0.00403962797157574,Study 2 only
RIC1,TDH1,0.2886893,-0.32995501253331,0.0529009,0.09663870146813,No effect
RIC1,TDH2,-0.033153175,-0.518319118471078,0.885318,0.0391631618701607,Study 2 only
RIC1,TDH3,0.2690092,-1.18939269622239,0.108136,2.33035822452818e-11,Study 2 only
RIC1,YHB1,-0.49342243,-0.55662203120269,3.73668e-5,0.0587015787479581,No effect
CHA4,ENO2,-0.44424077,0.163599950307082,0.044756,0.529332269438875,No effect
CHA4,FAS1,-0.011446911,0.341315931839516,0.983727,0.284360979286012,No effect
CHA4,FAS2,-0.078769348,0.118481967224159,0.709438,0.735844825571919,No effect
CHA4,HTB2,0.01681007,0.0116417219160125,0.967208,0.986585174888972,No effect
CHA4,RNR2,-0.074295225,0.0949640331588877,0.73483,0.658866823581701,No effect
CHA4,SSA1,-0.36990211,-0.108104746449204,0.135692,0.783220796702612,No effect
CHA4,TDH1,-0.35802308,-0.188874237371612,0.198623,0.468634845613346,No effect
CHA4,TDH2,-0.45717935,0.0274188840766989,0.083896,0.964429645503671,No effect
CHA4,TDH3,-0.33765229,0.059475455371381,0.359906,0.902204546883207,No effect
CHA4,YHB1,-0.19647205,0.0332373810357599,0.647246,0.962127457902856,No effect
HOG1,ENO2,-0.057137976,0.150518407206163,0.971135,0.570806255584364,No effect
HOG1,FAS1,-0.25797309,-0.290595444853687,0.0108315,0.389352260196752,No effect
