Protein	Gene	ProteinName	EntrezID	ProteinCopy	Label	log2FC	SE	Tvalue	DF	pvalue	adj.pvalue	issue	MissingPercentage	ImputationPercentage
YAL035W	YAL035W	NA	NA	YAL035W	IRA2-WT	-0.190823612321463	0.151116604409492	-1.26275741217936	16	0.224770305721355	0.411741400870951	NA	0.387820512820513	0.349358974358974
YAL035W	YAL035W	NA	NA	YAL035W	POP1-WT	-1.07536057457269	0.151116604409492	-7.11609805404776	16	2.44631625845315e-06	0.000173828243850657	NA	0.503205128205128	0.46474358974359
YAL035W	YAL035W	NA	NA	YAL035W	SSY5-WT	0.029861737819335	0.151116604409492	0.197607257892166	16	0.845840998920883	0.909616171179028	NA	0.381410256410256	0.342948717948718
YAL035W	YAL035W	NA	NA	YAL035W	SIT4-WT	-0.317543553405431	0.151116604409492	-2.1013147737555	16	0.0518102957210438	0.14983445210195	NA	0.416666666666667	0.378205128205128
YAL035W	YAL035W	NA	NA	YAL035W	SAP155-WT	-1.38351508080446	0.151116604409492	-9.15528168602465	16	9.24228298337937e-08	4.65387457725582e-06	NA	0.522435897435897	0.483974358974359
YAL036C	YAL036C	NA	NA	YAL036C	IRA2-WT	-0.170108119210011	0.187829256882724	-0.905652942641531	16	0.378555962412443	0.571582022454432	NA	0.41304347826087	0.369565217391304
YAL036C	YAL036C	NA	NA	YAL036C	RAS21-WT	-0.953481303257546	0.187829256882724	-5.07631941414151	16	0.000112234680448742	0.00247310102883543	NA	0.492753623188406	0.449275362318841
YAL036C	YAL036C	NA	NA	YAL036C	POP1-WT	-0.937570137573926	0.187829256882724	-4.99160861909453	16	0.000133101952958681	0.00248312685340725	NA	0.471014492753623	0.427536231884058
YAL036C	YAL036C	NA	NA	YAL036C	SIT4-WT	-0.884704254610116	0.187829256882724	-4.71015149233382	16	0.000235892752102451	0.00267516802275138	NA	0.456521739130435	0.41304347826087
YAL036C	YAL036C	NA	NA	YAL036C	RAS22-WT	-1.32495648506519	0.187829256882724	-7.05404742080439	16	2.72555065383706e-06	8.88812687244787e-05	NA	0.521739130434783	0.478260869565217
YAL036C	YAL036C	NA	NA	YAL036C	SAP155-WT	-1.39001019072713	0.187829256882724	-7.40039232330571	16	1.50077538441096e-06	3.86349037792921e-05	NA	0.528985507246377	0.485507246376812
YAL036C	YAL036C	NA	NA	YAL036C	SSY5-WT	-0.764542845889439	0.187829256882724	-4.07041404825873	16	0.000890126573746208	0.0072369899937151	NA	0.478260869565217	0.434782608695652
YAL038W	YAL038W	NA	NA	YAL038W	RAS21-WT	-0.104354580319002	0.10155824480927	-1.02753430324622	16	0.319453398999873	0.518724588421255	NA	0.198717948717949	0.150641025641026
YAL038W	YAL038W	NA	NA	YAL038W	SIT4-WT	-0.0383464943197122	0.10155824480927	-0.37758130215551	16	0.710703434631522	0.835941831748144	NA	0.169871794871795	0.121794871794872
YAL038W	YAL038W	NA	NA	YAL038W	IRA2-WT	-0.273188170409707	0.10155824480927	-2.68996545699233	16	0.0160993708943518	0.0682095207898094	NA	0.205128205128205	0.157051282051282
YAL038W	YAL038W	NA	NA	YAL038W	RAS22-WT	-0.265613293786882	0.10155824480927	-2.61537893142712	16	0.0187456044126062	0.0643747021188302	NA	0.200320512820513	0.15224358974359
