geneSys	gene	log2FC_IRA2	log2FC_RAS21	log2FC_RAS22	log2FC_POP1	log2FC_SIT4	log2FC_SSY5	adj.p_IRA2	adj.p_RAS21	adj.p_RAS22	adj.p_POP1	adj.p_SIT4	adj.p_SSY5	log2FC.i_IRA2	log2FC.i_RAS21	log2FC.i_RAS22	log2FC.i_POP1	log2FC.i_SIT4	log2FC.i_SSY5	adj.p.i_IRA2	adj.p.i_RAS21	adj.p.i_RAS22	adj.p.i_POP1	adj.p.i_SIT4	adj.p.i_SSY5
YKR028W	SAP190	-0.528406475861067	-0.38135120916872	-0.266916173163636	0.317213428417205	-0.132850193165928	0.668177224344088	0.484713192213946	0.62564020871212	0.716658433328425	0.566348569714382	0.878910450311526	0.241231362610925	-0.528406475861067	-0.38135120916872	-0.266916173163636	0.317213428417205	-0.132850193165928	0.668177224344088	0.484713192213946	0.62564020871212	0.716658433328425	0.566348569714382	0.878910450311526	0.241231362610925
YKR029C	SET3	-Inf	-Inf	-0.195412095806564	-0.0444602829541508	-0.662836584390671	0.165501731856896	NA	NA	0.714171385129317	0.955706961162079	0.263128725641192	0.788696205409552	-9.16605667228814	-8.76232667228814	-0.195412095806564	-0.0444602829541508	-0.662836584390671	0.165501731856896	0.0350234	0.0349802	0.714171385129317	0.955706961162079	0.263128725641192	0.788696205409552
YKR035W-A	DID2	-0.621355172965488	-0.285498841362385	-0.0039685611308139	-0.444442902209227	-0.0866247623157649	0.504953130205331	0.225642470567784	0.609756819864617	0.992955868269647	0.386412879798064	0.896938589630674	0.319770480787327	-0.621355172965488	-0.285498841362385	-0.0039685611308139	-0.444442902209227	-0.0866247623157649	0.504953130205331	0.225642470567784	0.609756819864617	0.992955868269647	0.386412879798064	0.896938589630674	0.319770480787327
YKR042W	UTH1	-2.16023295055054	-2.2398960611914	-2.33030921065535	-1.89230538386581	-1.26845374528515	-1.24196006566686	6.06746393929103e-4	7.43426570891259e-4	2.17186551587683e-4	0.00198608310122529	0.0199985827753359	0.0218946799076086	-2.16023295055054	-2.2398960611914	-2.33030921065535	-1.89230538386581	-1.26845374528515	-1.24196006566686	6.06746393929103e-4	7.43426570891259e-4	2.17186551587683e-4	0.00198608310122529	0.0199985827753359	0.0218946799076086
YKR043C	SHB17	-0.00124428927547432	0.0251082428868195	-0.587832507683818	-0.396550422909567	-0.354093721755393	1.02552068598337	0.998425716679393	0.96473599915283	0.136527951568676	0.343436841495855	0.408232817512106	0.014003543258609	-0.00124428927547432	0.0251082428868195	-0.587832507683818	-0.396550422909567	-0.354093721755393	1.02552068598337	0.998425716679393	0.96473599915283	0.136527951568676	0.343436841495855	0.408232817512106	0.014003543258609
YKR046C	PET10	-0.104555488488085	2.0482974227969	3.02297714056285	1.38548125301451	2.40107885255066	1.60624088893777	0.879791272919074	0.00146177109901719	2.4089088298096e-5	0.0156382940507129	2.04899675824825e-4	0.00539731268326514	-0.104555488488085	2.0482974227969	3.02297714056285	1.38548125301451	2.40107885255066	1.60624088893777	0.879791272919074	0.00146177109901719	2.4089088298096e-5	0.0156382940507129	2.04899675824825e-4	0.00539731268326514
YKR048C	NAP1	-0.220714251662105	-0.320053743055323	-0.461273180341614	-0.565935221856755	0.0199207641424953	0.153432056529158	0.36771552455372303	0.186637121965184	0.0441691714725338	0.0202979995491186	0.951701135198789	0.535447183424545	-0.220714251662105	-0.320053743055323	-0.461273180341614	-0.565935221856755	0.0199207641424953	0.153432056529158	0.36771552455372303	0.186637121965184	0.0441691714725338	0.0202979995491186	0.951701135198789	0.535447183424545
YKR049C	FMP46	-Inf	0.296861087688019	1.51138063602672	-0.183100823177831	1.72708190501048	-0.470413210661659	NA	0.482841102672177	0.001220097539879	0.668428186348501	5.55025237065938e-4	0.279209617871754	-9.0221132959175	0.296861087688019	1.51138063602672	-0.183100823177831	1.72708190501048	-0.470413210661659	0.0270741	0.482841102672177	0.001220097539879	0.668428186348501	5.55025237065938e-4	0.279209617871754
YKR056W	TRM2	0.990720395747537	1.28230760420376	0.792519229589369	-0.0347017173601868	0.734255446426042	0.69535758507463	0.18456603940996	0.08883021256167	0.265259750807825	0.974064483214272	0.326408671038186	0.351228625246204	0.990720395747537	1.28230760420376	0.792519229589369	-0.0347017173601868	0.734255446426042	0.69535758507463	0.18456603940996	0.08883021256167	0.265259750807825	0.974064483214272	0.326408671038186	0.351228625246204
YKR057W	RPS21A	-0.13258698379207	-0.785183704252566	-0.563233583924875	-0.44909069808983	-0.812124136328169	-0.688519293760913	0.764328073759235	0.0483956981771698	0.122350057226936	0.235739176405817	0.0325091792068811	0.0656726858472457	-0.13258698379207	-0.785183704252566	-0.563233583924875	-0.44909069808983	-0.812124136328169	-0.688519293760913	0.764328073759235	0.0483956981771698	0.122350057226936	0.235739176405817	0.0325091792068811	0.0656726858472457
