Protein	IRA2	POP1	RAS21	RAS22	SAP155	SIT4	SSY5	WT
YBL006C	27.7571113251601	27.6345548743486	28.5396101010001	27.5941359431643	28.0591238678937	27.9056204737641	28.1155445622056	28.6432892556504
YBL007C	24.3303544115253	25.2157737861822	24.7102159520599	25.390407011821	25.0127713173935	24.8265697741792	24.6856247316859	25.8643599443177
YBL015W	22.2165464610097	23.8961799740239	22.597217079703	24.9685419725856	25.720131737216	27.5603914232808	22.6427152505981	23.9659215991072
YBL016W	NA	NA	NA	NA	NA	NA	24.9615694547938	24.6967082622454
YBL017C	22.7876631977152	23.7988479603142	23.9255970845769	23.3459568768888	22.2302764583705	24.1086096190349	23.5720001369729	24.1038797547528
YBL018C	26.9556060785009	25.4399986838911	25.7529917140662	NA	NA	NA	NA	26.1373108817556
YBL019W	29.2524297244789	28.015547611224	28.4756948488637	28.3735782976627	27.8272402249604	27.900749859286	28.4069262474708	28.2366014865184
YBL022C	22.7914713725903	23.4052974406601	23.4282800019415	23.6006366888571	22.7346546617997	24.6793375892608	23.5769596554003	24.0057871093828
YBL023C	24.6746399169156	24.5484506909505	24.4616296938662	24.437338392729	NA	25.0912756907544	24.3208719857131	24.9192664107029
YBL024W	25.9015341323303	24.8931819600219	25.3923226377075	24.9704109975499	24.5470721620411	24.9486353202717	25.7070055470092	25.8062317711088
YBL026W	26.0129292378023	25.3390830414063	25.8701134754587	25.7066197445888	25.6982686743053	25.2560413986211	26.1471803762221	26.7313341169565
YBL028C	26.8095428201082	25.7248377340599	25.8477329420938	25.5591510197068	25.4703638971265	25.3967670711404	26.7146623076319	26.0804617557343
YBL029C-A	25.450815057869	25.214933212451	NA	24.739253454422	25.0410735377968	NA	23.6556047383284	23.4751163150715
YBL030C	25.9830028537164	26.5319982705653	26.1754608130654	26.5147024971607	26.8046226485834	28.8909298775853	26.4820759304244	27.0892965523158
YBL032W	25.6441294751237	26.0857661930914	25.9114692725286	25.8349696709544	25.3916535939964	25.4310159303889	24.6265210208697	26.1056483645773
YBL033C	23.3517510747825	24.5053966099109	23.1100454733062	23.6714983080291	24.0476931286505	25.8568085330867	23.7038212661923	24.3227151991464
YBL035C	24.3472766203368	23.3405551404459	24.0485454035775	23.7985269728391	23.0992837961094	24.2754175907774	NA	24.4353192337891
YBL036C	26.110273751074	26.8264855197665	26.6262636975862	26.3722455516494	25.6555570254406	26.665523964712	26.7752242347352	27.3864437577593
YBL038W	NA	NA	26.2207958731274	26.6889511465033	26.523101450243	NA	27.160007023276	NA
YBL039C	26.8726912614885	25.7827188400787	26.3428292158829	25.6245099841912	25.2862418123155	25.8109717441412	26.6598069980979	26.7292860539776
YBL041W	26.810974907444	26.2749227200318	26.7231140248298	26.473163450195	26.3344019207989	26.5824024105293	26.9433754302791	27.0813633682364
YBL045C	25.4567993959181	26.8103976905432	26.2425247582329	27.7533908848366	27.8199817763069	29.6807586523507	25.6533725418146	27.2471015560356
YBL046W	25.8263742407251	25.3474185854035	22.9610012884898	22.723176837419	NA	NA	24.0475474716516	24.8097799637855
